player,Overall,Nationality,Team,Archetype,Position1,Position2,Height,Weight,Jersey,Year(s) in the NBA,Prior to NBA,Rank current,Rank all,Outside Scoring,Athleticism,Inside Scoring,Playmaking,Defending,Rebounding,Intangibles,Potential,Total Attributes,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Team_Category
Jrue Holiday,83,United States,New Orleans Pelicans,2-Way Tempo Pusher,SG,PG,191,92,11,1,UCLA,57,745,69,76,55,78,80,48,30,86,2625,80,61,79,70,60,65,79,83,49,68,90,86,80,80,25,65,30,72,40,44,81,75,86,79,74,74,44,94,70,58,96,89,93,95,43,52,Current
J.J. Redick,78,United States,New Orleans Pelicans,Sharpshooter,SG,SG,191,90,4,4,Duke,128,957,86,66,47,60,51,39,70,79,2287,56,87,90,90,96,95,61,65,27,63,88,80,81,74,25,25,25,50,25,70,80,70,70,49,70,42,35,68,32,37,65,63,62,45,28,49,Current
Lonzo Ball,77,United States,New Orleans Pelicans,2-Way 3PT Playmaker,PG,-,198,86,2,3,UCLA,146,994,59,77,54,84,75,55,40,84,2585,62,56,80,57,65,35,85,85,52,80,88,70,80,74,30,75,35,44,40,50,84,88,86,85,89,74,60,86,59,53,86,84,90,85,42,67,Current
Derrick Favors,77,United States,New Orleans Pelicans,Glass-Cleaning Finisher,C,PF,206,119,22,0,Georgia Tech,165,1,66,73,72,48,61,90,25,78,2499,92,79,52,58,65,50,65,55,85,76,80,70,80,78,85,70,77,72,77,50,70,40,50,41,69,39,75,63,38,73,62,70,45,65,90,90,Current
Jaxson Hayes,76,United States,New Orleans Pelicans,Interior Big,C,-,211,99,10,1,Texas,175,1,70,74,71,36,63,66,98,82,2500,74,68,54,63,82,80,58,60,72,75,80,95,80,71,85,80,68,54,65,52,90,29,38,41,40,34,79,48,38,82,64,79,45,65,67,65,Current
Jahlil Okafor,76,United States,New Orleans Pelicans,Mid-Range Finisher,C,-,208,124,9,5,Duke,206,1,71,71,79,52,50,74,80,76,2512,85,82,28,64,84,85,48,45,87,60,85,85,84,77,90,60,78,72,80,85,87,60,42,42,68,48,66,33,35,76,43,62,48,35,77,70,Current
Josh Hart,75,United States,New Orleans Pelicans,Slasher,SF,SG,196,97,3,3,Villanova,238,1,75,78,60,68,63,61,50,77,2562,88,64,77,75,84,60,81,83,44,69,90,95,82,85,25,70,39,58,42,69,95,73,77,79,75,35,46,72,49,51,77,70,70,65,42,79,Current
Nicolo Melli,75,Italy,New Orleans Pelicans,Stretch Four,PF,C,206,106,20,1,Italy,241,1,82,64,56,48,53,55,85,76,2319,80,85,80,73,95,80,55,54,63,59,80,70,68,62,60,50,49,54,52,52,70,42,60,47,49,40,62,40,46,57,57,60,58,40,47,62,Current
E’Twaun Moore,73,United States,New Orleans Pelicans,3PT Specialist,SG,SF,191,86,55,9,Purdue,324,1,78,75,53,67,52,46,75,75,2407,85,65,81,67,92,80,70,76,54,78,80,82,83,73,25,55,40,57,47,44,79,75,76,70,70,42,43,62,42,47,69,51,65,40,41,51,Current
Darius Miller,72,United States,New Orleans Pelicans,Sharpshooter,SF,PF,198,101,21,8,Kentucky,386,1,76,72,51,55,51,35,55,73,2249,84,83,80,79,82,50,65,69,58,85,81,68,81,75,40,50,35,51,45,29,80,52,68,60,54,41,48,61,38,51,67,57,44,40,29,41,Current
Nickeil Alexander-Walker,71,Canada,New Orleans Pelicans,Playmaker,SG,PG,196,92,0,1,Virginia Tech,397,1,63,75,61,75,61,49,40,79,2467,53,74,78,57,65,50,72,75,60,70,90,75,80,70,40,60,54,58,64,54,88,75,81,72,76,70,52,75,37,51,76,70,74,55,33,64,Current
Kenrich Williams,71,United States,New Orleans Pelicans,Prospect,PF,SF,198,95,34,2,TCU,415,1,62,72,59,58,59,63,97,74,2397,53,45,66,38,97,70,62,60,63,72,80,85,80,74,40,65,40,52,54,55,90,64,69,56,65,35,62,63,43,62,75,60,60,45,57,69,Current
Frank Jackson,71,United States,New Orleans Pelicans,3-Level Scorer,PG,SG,191,92,15,3,Duke,423,1,76,79,49,66,50,43,70,73,2354,85,74,76,75,84,60,86,87,41,95,85,81,81,76,35,65,30,38,26,44,76,70,77,85,60,36,25,62,38,37,70,60,60,45,40,46,Current
Sindarius Thornwell,71,United States,New Orleans Pelicans,Mid-Range Finisher,SF,SG,196,97,3,3,-,424,1,69,72,50,58,60,45,66,73,2315,68,75,69,74,65,60,66,67,69,72,85,65,83,75,40,45,30,45,48,45,69,65,70,60,62,33,54,70,63,57,74,68,40,55,33,57,Current
Zylan Cheatham,67,United States,New Orleans Pelicans,Interior Finisher,PF,SF,196,99,45,1,Arizona State,542,1,60,70,65,50,51,68,30,70,2265,67,68,69,65,50,40,60,59,69,74,80,65,81,72,75,75,58,54,57,50,79,54,59,49,56,34,61,52,40,67,52,60,44,35,66,69,Current
Josh Gray,67,United States,New Orleans Pelicans,3PT Specialist,PG,-,183,81,5,2,LSU,544,1,62,75,41,75,46,30,50,69,2152,57,74,80,73,57,30,81,83,40,81,80,85,78,72,25,25,25,40,25,37,80,75,78,86,71,66,25,50,64,27,65,52,57,30,25,34,Current
Mitchell Robinson,81,United States,New York Knicks,Glass-Cleaning Lockdown,C,-,213,108,23,2,Chalmette HS (LA),74,823,68,69,69,43,72,80,85,84,2565,72,68,32,57,98,80,48,25,65,83,85,95,80,79,90,80,65,52,50,58,80,70,40,25,54,28,83,49,53,95,65,87,65,80,88,72,Current
Julius Randle,80,United States,New York Knicks,Slashing Four,PF,C,203,113,30,6,Kentucky,92,867,79,80,81,66,57,74,50,81,2745,85,76,69,73,85,85,73,76,87,69,85,85,84,88,85,80,79,60,84,74,95,55,72,68,74,62,67,53,40,50,67,69,52,60,62,86,Current
Taj Gibson,77,United States,New York Knicks,Mid-Range Finisher,C,-,206,104,67,1,Southern California,156,1,81,69,73,38,62,72,90,78,2550,89,82,69,73,95,80,49,46,83,58,70,95,83,65,75,65,81,80,79,60,77,33,35,32,54,34,69,58,41,67,57,78,62,65,76,67,Current
Bobby Portis,77,United States,New York Knicks,Interior Finisher,PF,C,208,113,1,5,Arkansas,164,1,85,72,75,48,58,66,30,78,2555,90,76,79,76,94,95,54,55,75,64,80,90,84,68,70,70,78,79,82,69,85,55,52,39,52,42,78,40,38,51,50,75,65,65,55,77,Current
Elfrid Payton,77,United States,New York Knicks,Playmaker,PG,-,191,83,6,6,Louisiana,167,1,70,78,50,82,68,54,85,77,2588,82,75,55,57,82,70,76,83,58,77,80,88,83,77,25,50,25,32,25,69,95,83,86,75,81,85,25,79,83,52,79,70,82,75,46,61,Current
R.J. Barrett,75,Canada,New York Knicks,Offense Initiator,SG,SF,198,95,9,1,Duke,219,1,69,80,68,72,58,52,80,86,2603,56,57,75,61,77,85,84,85,54,82,95,80,80,77,45,80,52,55,79,68,85,75,81,82,74,49,58,69,46,47,77,64,55,45,40,63,Current
Frank Ntilikina,73,France,New York Knicks,2-Way Tempo Pusher,PG,SG,193,90,11,3,France,318,1,71,74,48,78,67,41,50,76,2463,59,79,75,86,75,50,80,82,47,70,81,80,80,65,30,45,32,48,40,39,85,77,86,80,77,70,35,82,66,52,82,80,70,70,35,47,Current
Kevin Knox II,72,United States,New York Knicks,Floor-Spacing Slasher,SF,PF,201,97,20,2,Kentucky,345,1,60,78,64,60,59,50,70,80,2438,55,66,76,65,55,40,75,75,70,80,90,73,82,67,65,75,59,52,68,49,78,59,75,72,60,34,57,69,37,62,72,68,69,40,37,62,Current
Dennis Smith Jr.,72,United States,New York Knicks,Offense Initiator,PG,-,188,88,5,3,North Carolina State,358,1,55,76,53,79,60,50,70,76,2405,63,37,72,51,64,40,86,87,54,91,88,45,80,76,25,85,30,31,38,60,80,76,86,85,75,73,25,66,76,53,77,65,75,45,45,54,Current
Wayne Ellington,72,United States,New York Knicks,Inside-Out Scorer,SG,-,193,90,2,1,UNC,365,1,77,71,52,65,47,42,75,75,2308,72,71,78,80,96,65,70,71,64,78,80,52,80,70,35,50,30,60,35,49,84,75,70,64,75,42,38,60,38,42,70,42,49,40,28,55,Current
Damyean Dotson,72,United States,New York Knicks,Sharpshooter,SG,SF,196,95,21,3,Houston,366,1,72,73,52,61,52,41,75,75,2306,44,82,80,68,85,70,86,86,33,79,80,64,80,73,40,60,31,46,40,44,80,60,71,74,62,40,33,66,41,37,72,64,58,45,31,51,Current
Reggie Bullock,72,United States,New York Knicks,Mid-Range Specialist,SG,SF,198,92,25,7,North Carolina,368,1,77,69,50,62,52,41,70,75,2291,67,82,76,84,85,65,63,67,50,72,80,70,80,71,40,50,30,51,42,50,66,75,71,56,72,37,50,56,53,35,65,63,50,40,35,47,Current
Maurice Harkless,72,United States,New York Knicks,Inside-Out Scorer,SF,PF,201,99,3,8,St. John's,382,1,62,75,57,54,68,52,40,74,2384,69,58,78,59,70,40,72,76,45,82,85,79,85,78,55,82,40,42,40,37,85,65,63,61,48,32,60,76,56,60,76,78,64,70,45,59,Current
Ignas Brazdeikis,70,Lithuania  /  Canada,New York Knicks,3-Level Scorer,SF,PF,198,99,17,1,Michigan,439,1,73,70,48,60,51,56,55,78,2258,74,74,76,77,95,40,62,64,48,75,80,80,80,70,30,65,38,37,30,44,68,61,70,60,60,51,57,59,38,58,68,50,44,30,49,63,Current
Theo Pinson,69,United States,New York Knicks,Finisher,SG,PG,196,98,1,2,North Carolina,483,1,58,72,55,61,65,47,70,72,2347,70,64,55,86,50,25,73,77,40,80,80,75,81,75,45,75,35,38,38,55,75,50,70,67,45,71,60,71,66,47,75,69,68,60,39,55,Current
Kenny Wooten,69,United States,New York Knicks,Interior Finisher,PF,-,203,106,45,0,Oregon,491,1,53,73,64,46,64,69,30,70,2326,65,62,39,60,50,40,65,62,50,93,80,85,79,60,90,80,52,54,64,40,74,38,60,49,55,30,68,54,54,86,59,79,68,45,69,68,Current
Jared Harper,67,United States,New York Knicks,Shot Creator,PG,-,178,79,12,1,Auburn,538,1,65,80,50,75,50,39,40,71,2306,68,72,77,83,55,35,93,93,60,91,75,65,80,66,25,25,53,62,44,44,80,70,79,91,70,63,40,61,59,56,73,45,35,30,33,44,Current
Chris Paul,88,United States,Oklahoma City Thunder,All-Around 2-Way,PG,-,183,79,3,5,Wake Forest,20,411,90,77,56,87,78,48,60,92,2829,96,98,81,90,90,85,80,80,62,75,88,75,77,85,25,27,40,55,70,55,90,95,92,80,88,78,61,90,73,35,90,90,95,90,31,65,Current
Shai Gilgeous-Alexander,84,Canada,Oklahoma City Thunder,Mid-Range Slasher,SG,PG,196,81,2,2,Kentucky,46,690,88,79,68,78,66,51,70,89,2810,87,93,78,80,95,95,82,82,60,83,94,75,80,84,40,75,50,73,72,69,80,83,87,82,80,59,51,78,43,56,82,75,76,70,36,66,Current
Danilo Gallinari,83,Italy,Oklahoma City Thunder,Stretch Four,PF,SF,208,101,8,2,Italy,62,769,87,72,75,63,58,52,65,83,2654,74,81,84,89,98,98,60,60,66,66,95,85,75,84,45,75,66,72,91,88,76,72,76,60,65,41,69,56,40,30,68,70,62,65,36,68,Current
Steven Adams,82,New Zealand,Oklahoma City Thunder,Paint Beast,C,-,211,119,12,7,Pittsburgh,71,799,63,72,75,51,72,87,25,83,2597,85,68,26,59,70,70,48,37,81,68,93,97,82,74,85,70,79,62,82,65,79,69,35,33,68,52,87,55,46,74,63,90,78,85,90,84,Current
Dennis Schroder,80,Germany,Oklahoma City Thunder,Offensive Threat,PG,SG,185,77,17,7,Germany,95,872,86,79,50,83,57,42,55,80,2560,88,86,82,84,78,98,84,88,46,74,93,90,80,80,25,45,25,38,27,71,85,88,86,84,89,70,34,73,37,40,74,72,67,60,30,54,Current
Nerlens Noel,76,United States,Oklahoma City Thunder,Finisher,C,-,208,99,9,7,Kentucky,186,1,70,74,71,40,73,72,65,78,2576,82,69,30,77,85,75,66,63,60,74,84,94,76,72,90,75,62,62,64,67,79,32,46,27,60,34,76,45,83,91,62,78,89,60,68,76,Current
Luguentz Dort,74,Canada,Oklahoma City Thunder,Floor-Spacing Slasher,SG,SF,191,97,5,1,Arizona State,265,1,71,81,57,60,69,40,50,78,2501,71,67,72,70,75,70,79,78,68,87,80,94,80,79,50,85,40,38,44,44,72,62,72,76,62,29,52,80,73,32,80,75,78,80,38,41,Current
Darius Bazley,73,United States,Oklahoma City Thunder,3-Level Scorer,PF,-,203,94,7,1,Princeton HS (OH),298,1,67,74,62,53,55,58,98,83,2419,68,74,76,68,60,55,73,75,50,82,80,75,80,72,50,80,59,54,50,54,80,50,69,70,47,29,55,56,38,72,67,60,59,35,38,78,Current
Mike Muscala,73,United States,Oklahoma City Thunder,3-Level Scorer,C,PF,208,108,33,7,Bucknell,312,1,84,65,63,48,54,55,75,76,2396,89,80,79,82,95,80,43,37,76,58,79,80,79,58,75,60,68,64,66,49,64,60,42,40,60,39,68,53,35,58,54,67,54,45,40,69,Current
Andre Roberson,72,United States,Oklahoma City Thunder,Finisher,SG,SF,201,95,21,7,Colorado,357,1,47,76,61,63,75,59,75,76,2486,40,54,50,32,75,30,68,67,69,72,82,95,82,72,55,77,52,52,51,42,85,75,70,66,74,31,74,79,66,71,79,78,77,75,63,55,Current
Terrance Ferguson,71,United States,Oklahoma City Thunder,Inside-Out Scorer,SF,SG,198,86,23,3,Advanced Prep International (TX),403,1,68,71,61,59,62,36,70,76,2401,41,51,72,73,98,75,68,67,40,85,86,70,82,78,50,89,58,44,45,30,95,65,70,67,62,30,50,75,38,51,78,67,68,65,36,36,Current
Abdel Nader,71,Egypt,Oklahoma City Thunder,3PT Specialist,SF,PF,196,101,11,4,Iowa State,421,1,78,74,55,52,51,44,35,74,2287,80,70,81,77,88,70,72,74,52,79,80,75,87,74,40,70,35,38,30,65,85,48,69,63,49,32,42,62,41,52,72,59,40,40,35,52,Current
Hamidou Diallo,70,United States,Oklahoma City Thunder,Slasher,SG,SF,196,89,6,2,Kentucky,437,1,56,79,55,62,59,55,40,79,2336,52,70,50,62,70,30,86,87,52,97,75,75,81,84,45,93,31,29,38,45,75,66,75,79,62,29,40,65,59,50,77,60,78,40,48,62,Current
Isaiah Roby,70,United States,Oklahoma City Thunder,Stretch Four,PF,SF,203,104,22,1,Nebraska,440,1,65,71,61,46,57,55,80,76,2334,66,70,73,68,65,50,74,72,50,79,80,65,80,68,70,70,50,51,50,45,85,48,55,50,47,31,62,60,46,56,63,60,60,50,47,62,Current
Deonte Burton,70,United States,Oklahoma City Thunder,Slasher,SF,SG,193,110,30,2,Iowa State,446,1,66,77,59,62,58,51,35,76,2389,69,70,60,74,70,55,76,78,64,85,80,75,80,73,40,75,49,51,58,45,80,64,72,74,68,31,58,65,36,70,73,59,60,40,36,65,Current
Kevin Hervey,69,United States,Oklahoma City Thunder,Inside-Out Scorer,PF,-,206,104,15,2,Texas-Arlington,494,1,61,74,63,50,56,64,50,69,2335,72,68,70,66,50,40,64,62,75,78,80,79,83,68,75,75,65,49,66,34,70,49,55,52,57,37,68,54,52,54,65,60,62,35,57,70,Current
Devon Hall,67,United States,Oklahoma City Thunder,Shot Creator,SG,SF,188,97,22,2,Virginia,530,1,66,70,50,62,53,37,50,75,2219,66,74,75,75,60,45,70,69,46,74,80,70,80,70,25,65,34,40,40,48,78,62,71,64,60,54,35,62,50,47,71,64,62,35,32,41,Current
Nikola Vucevic,86,Switzerland,Orlando Magic,Mid-Range Finisher,C,-,211,117,9,9,Southern California,35,574,87,72,83,55,57,84,98,86,2773,92,81,77,78,98,98,62,46,89,45,95,92,77,78,85,65,87,82,85,86,98,54,35,32,82,70,73,41,41,63,49,74,57,55,76,91,Current
Jonathan Isaac,82,United States,Orlando Magic,2-Way Mid-Range Shooter,SF,PF,211,95,1,3,Florida State,64,785,63,78,65,59,86,65,25,86,2662,61,83,76,77,50,30,73,76,70,80,90,90,67,67,60,82,62,68,75,35,68,65,76,66,55,33,80,86,83,93,86,88,85,85,56,74,Current
Aaron Gordon,80,United States,Orlando Magic,Interior Finisher,PF,SF,203,99,0,6,Arizona,93,868,76,82,81,64,70,64,45,81,2803,76,55,73,68,97,85,71,67,72,92,95,90,84,85,95,95,58,60,84,74,95,65,62,66,60,65,78,80,41,56,80,78,68,80,52,75,Current
Evan Fournier,80,France,Orlando Magic,Sharpshooter,SG,SF,201,92,10,8,France,94,870,85,72,52,71,60,37,75,80,2494,90,86,84,82,88,80,71,70,40,63,95,80,86,80,25,50,30,45,36,66,85,75,76,65,76,63,38,69,53,42,69,70,72,65,29,45,Current
Terrence Ross,78,United States,Orlando Magic,Inside-Out Scorer,SG,SF,198,93,31,8,Washington,126,955,82,73,62,62,62,43,98,79,2567,85,79,82,85,80,80,70,78,48,85,86,65,82,79,50,85,58,70,45,38,74,65,78,70,62,33,51,68,59,51,70,66,68,60,29,56,Current
Markelle Fultz,77,United States,Orlando Magic,Slashing Playmaker,PG,SG,191,90,20,3,Washington,147,995,76,80,64,83,61,44,50,83,2645,86,79,67,72,80,70,86,85,56,85,92,75,80,87,30,75,42,48,69,79,81,86,86,85,83,74,50,75,66,37,78,72,69,40,35,52,Current
Mohamed Bamba,76,United States,Orlando Magic,Glass Cleaner,C,-,213,99,5,2,Texas,174,1,60,75,69,39,67,83,50,83,2467,46,65,79,67,60,45,84,61,68,75,78,75,81,66,85,70,69,64,69,50,80,35,46,32,51,33,77,48,40,97,64,80,64,65,78,87,Current
Michael Carter-Williams,76,United States,Orlando Magic,Slasher,PG,SG,196,86,7,7,Syracuse,203,1,77,75,64,76,73,57,88,76,2746,88,45,71,83,97,80,74,75,38,75,85,95,82,84,40,60,50,62,51,72,95,78,78,74,84,68,58,75,86,62,78,70,85,70,54,60,Current
D.J. Augustin,76,United States,Orlando Magic,Mid-Range Shot Creator,PG,-,180,82,14,2,Texas,207,1,83,73,47,79,48,39,80,76,2402,63,89,79,89,92,85,83,84,28,68,85,82,84,79,25,25,25,59,32,50,80,79,81,82,82,73,25,60,40,27,70,54,60,50,32,45,Current
Al-Farouq Aminu,75,United States  /  Nigeria,Orlando Magic,Stretch Four,PF,SF,203,99,2,0,Wake Forest,236,1,68,73,62,56,74,64,60,77,2554,60,52,70,66,94,65,58,69,75,63,85,82,82,72,55,70,48,64,54,54,80,65,60,56,66,34,79,77,70,58,77,79,75,75,57,71,Current
James Ennis,75,United States,Orlando Magic,Mid-Range Specialist,SF,SG,198,95,11,7,Long Beach State,256,1,79,67,65,58,64,59,40,75,2491,71,82,77,81,85,75,52,57,58,67,80,75,80,82,70,72,53,57,48,50,85,65,68,50,72,33,68,72,41,56,69,72,70,65,56,62,Current
Gary Clark,72,United States,Orlando Magic,Stretch Four,PF,-,203,101,12,2,Cincinnati,369,1,74,70,63,45,57,60,70,75,2376,70,78,75,80,78,60,53,54,65,75,80,80,80,66,55,60,60,54,62,54,90,52,54,35,54,29,62,62,32,68,66,58,60,50,57,63,Current
Wesley Iwundu,72,United States,Orlando Magic,Shot Creator,SF,SG,198,88,25,3,Kansas State,380,1,71,70,56,60,60,48,70,74,2379,71,74,74,82,70,55,62,64,49,79,80,75,80,60,40,65,49,58,52,44,80,68,74,60,62,34,62,70,43,51,75,66,62,50,39,56,Current
Khem Birch,72,Canada,Orlando Magic,Paint Defender,C,PF,206,105,24,3,UNLV,385,1,59,77,61,32,61,67,95,73,2324,74,50,25,61,79,65,71,67,73,78,75,90,83,61,75,70,51,44,55,50,78,25,32,34,40,31,77,48,37,63,57,79,60,65,68,65,Current
Melvin Frazier Jr.,70,United States,Orlando Magic,Floor-Spacing Slasher,SG,SF,196,90,35,2,Tulane,454,1,61,78,51,61,63,44,50,74,2339,68,59,75,71,57,35,93,92,42,83,80,75,79,75,40,70,33,40,31,41,80,60,71,76,60,40,46,72,74,37,78,70,75,50,40,47,Current
Vic Law,69,United States,Orlando Magic,3-Level Scorer,PF,SF,201,90,23,0,Northwestern,488,1,68,65,56,58,47,69,50,70,2229,69,73,79,79,65,40,62,63,60,72,85,35,78,75,40,70,42,51,49,50,70,61,68,54,64,41,64,54,30,41,52,52,44,40,68,69,Current
B.J. Johnson,68,United States,Orlando Magic,3-Level Scorer,SF,PF,203,90,13,1,La Salle,529,1,62,72,59,52,54,44,30,68,2231,60,72,75,84,50,30,70,71,48,80,80,75,83,70,70,70,50,50,52,34,75,62,63,58,50,29,60,65,52,50,54,61,57,35,40,48,Current
Joel Embiid,91,Cameroon,Philadelphia 76ers,Paint Beast,C,-,213,113,21,6,Kansas,10,287,85,79,88,56,73,83,95,93,2983,90,72,79,81,95,95,67,63,95,68,94,90,76,80,90,80,90,88,96,85,95,40,57,61,58,65,91,60,42,76,64,93,64,90,70,95,Current
Ben Simmons,87,Australia,Philadelphia 76ers,2-Way Slashing Playmaker,PG,SF,208,104,25,4,LSU,25,479,73,88,85,83,83,63,80,90,3109,75,46,55,63,98,98,93,84,80,85,97,97,83,93,83,86,76,73,78,96,98,75,86,84,89,79,79,87,90,53,85,87,92,90,56,70,Current
Tobias Harris,84,United States,Philadelphia 76ers,Inside-Out Scorer,SF,PF,203,106,12,9,Tennessee,52,703,88,77,77,70,58,56,65,85,2750,92,79,80,81,98,95,75,59,73,79,95,73,82,85,65,75,70,70,83,73,95,77,77,56,80,58,59,58,38,52,67,66,64,60,38,73,Current
Al Horford,80,Dominican Republic,Philadelphia 76ers,2-Way Mid-Range Maestro,PF,C,206,110,42,3,Florida,83,853,76,74,72,64,71,63,55,85,2711,75,87,77,75,86,55,53,48,91,69,95,85,78,65,80,65,76,85,84,40,84,83,50,33,88,68,86,68,42,65,67,88,70,85,52,73,Current
Josh Richardson,80,United States,Philadelphia 76ers,2-Way Mid-Range Shooter,SG,PG,196,90,0,5,Tennessee,90,865,82,79,55,71,75,43,55,82,2662,75,95,75,79,90,80,80,83,57,72,95,80,83,75,50,78,30,48,32,50,80,69,78,79,68,59,69,87,43,60,88,85,82,85,38,48,Current
Alec Burks,77,United States,Philadelphia 76ers,3PT Specialist,SG,PG,198,96,20,9,Colorado,173,1,80,75,65,74,61,51,45,77,2599,72,78,80,90,82,80,81,78,48,69,89,72,85,78,40,69,40,58,78,79,77,72,79,80,73,64,45,72,49,47,72,74,70,55,38,64,Current
Matisse Thybulle,75,United States  /  Australia,Philadelphia 76ers,Perimeter Lockdown,SG,SF,196,90,22,1,Washington,224,1,55,76,55,62,84,40,30,80,2478,57,58,79,61,50,25,76,78,59,70,85,84,80,70,35,75,52,52,47,30,80,68,71,69,68,35,69,87,97,71,86,87,93,85,42,37,Current
Shake Milton,75,United States,Philadelphia 76ers,3PT Specialist,SG,SF,196,93,18,2,SMU,252,1,80,73,56,74,51,43,50,75,2429,81,75,84,77,95,70,77,79,38,77,80,80,83,79,30,60,46,44,40,59,89,75,78,77,76,65,30,65,43,45,74,58,50,40,35,50,Current
Glenn Robinson III,75,United States,Philadelphia 76ers,3-Level Scorer,SF,SG,198,100,22,6,Michigan,254,1,76,72,66,54,58,51,50,75,2446,89,88,82,87,69,40,81,63,40,98,80,59,83,70,75,90,44,55,52,70,68,60,68,65,40,36,52,70,43,45,69,75,53,60,48,54,Current
Furkan Korkmaz,75,Turkey,Philadelphia 76ers,3PT Specialist,SF,SG,201,86,30,4,Turkey,257,1,81,74,60,58,53,41,40,75,2389,84,79,83,74,85,80,70,69,50,80,85,81,80,76,40,75,30,60,45,65,88,54,73,64,65,33,40,64,41,47,69,56,62,45,31,51,Current
Kyle O’Quinn,74,United States,Philadelphia 76ers,Mid-Range Specialist,C,PF,206,113,9,8,Norfolk State,296,1,73,67,61,50,57,87,30,74,2385,88,88,73,81,75,35,38,25,83,75,78,85,85,57,65,62,60,58,60,58,68,39,47,35,62,68,69,37,36,85,54,64,59,55,85,89,Current
Raul Neto,73,Brazil,Philadelphia 76ers,3PT Specialist,PG,-,185,81,19,7,Brazil,337,1,75,73,48,74,63,40,65,73,2441,69,77,84,85,82,55,71,75,51,68,82,85,79,74,25,25,43,40,35,64,81,75,79,70,76,68,40,73,56,45,75,66,80,70,35,45,Current
Mike Scott,72,United States,Philadelphia 76ers,Stretch Four,PF,-,201,107,1,8,Virginia,383,1,78,68,64,40,54,60,35,74,2317,80,82,80,77,85,65,44,44,73,63,81,88,82,69,70,70,63,65,65,40,70,39,44,44,42,31,67,65,35,35,65,63,52,50,53,67,Current
Ryan Broekhoff,72,Australia,Philadelphia 76ers,3PT Specialist,SF,SG,198,97,45,2,Valparaiso,387,1,76,67,55,58,52,57,55,73,2317,75,71,83,89,75,65,65,67,40,70,80,70,80,70,35,60,40,55,48,52,78,62,70,60,64,35,44,65,41,58,67,49,52,40,40,74,Current
Norvel Pelle,71,Antigua & Barbuda,Philadelphia 76ers,Rim Protector,C,PF,208,97,14,1,Price HS (CA),432,1,56,73,64,43,51,79,60,71,2275,74,66,29,75,54,40,56,59,68,75,80,90,82,59,75,75,68,54,59,47,75,44,45,44,52,30,69,37,28,90,47,60,40,40,69,89,Current
Zhaire Smith,70,United States,Philadelphia 76ers,Inside-Out Scorer,SG,PG,191,90,5,2,Texas Tech,451,1,59,84,55,60,63,44,25,75,2377,64,71,74,72,40,35,95,90,63,91,85,85,81,72,40,80,35,51,44,40,80,66,70,69,48,46,55,71,57,53,79,68,70,50,39,48,Current
Marial Shayok,67,Canada,Philadelphia 76ers,3PT Specialist,SG,SF,196,88,35,1,Iowa State,536,1,67,73,51,64,48,35,50,73,2212,69,75,81,82,50,45,71,70,60,72,80,75,80,66,30,70,40,44,35,41,80,68,64,67,66,54,44,55,35,40,66,50,50,45,29,40,Current
Devin Booker,87,United States,Phoenix Suns,Scoring Machine,SG,PG,196,95,1,5,Kentucky,26,481,90,73,61,80,55,43,80,89,2639,91,83,82,92,95,98,76,79,42,70,95,70,81,94,30,50,28,38,79,86,85,79,87,76,83,75,38,70,37,40,74,60,62,60,31,54,Current
Deandre Ayton,84,Bahamas,Phoenix Suns,Glass-Cleaning Finisher,C,-,211,113,22,2,Arizona,45,689,81,79,81,56,65,88,75,89,2819,89,71,60,77,97,90,75,65,82,82,90,76,81,79,90,75,85,75,82,80,82,53,61,55,70,39,78,49,37,82,61,78,69,65,87,88,Current
Kelly Oubre Jr.,81,United States,Phoenix Suns,Mid-Range Finisher,SF,PF,201,92,3,5,Kansas,81,840,84,79,58,66,63,56,65,81,2605,81,94,79,78,80,90,72,82,58,95,90,75,84,78,40,84,35,42,33,69,80,70,78,69,80,32,49,74,49,57,76,70,75,50,43,68,Current
Ricky Rubio,79,Spain,Phoenix Suns,Playmaker,PG,-,191,86,11,1,Spain,113,921,81,69,46,84,63,49,60,80,2494,76,79,78,85,88,80,75,79,27,60,88,73,80,74,25,25,25,40,26,68,86,84,86,75,88,86,32,78,70,35,79,76,70,60,37,61,Current
Aron Baynes,78,Australia,Phoenix Suns,Interior Finisher,C,PF,208,117,46,7,Washington State,134,971,86,67,73,47,58,71,75,78,2564,97,79,78,75,97,90,30,34,92,54,90,90,80,60,65,65,85,62,72,84,90,52,35,25,82,42,74,37,31,62,49,75,62,75,65,76,Current
Mikal Bridges,77,United States,Phoenix Suns,3-Level Scorer,SF,PF,198,95,25,2,Villanova,149,1,68,79,55,64,74,50,50,82,2541,67,79,79,85,60,40,80,82,62,85,85,75,84,75,40,75,35,42,54,35,80,70,75,72,68,37,56,80,76,58,80,78,86,75,42,57,Current
